Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Lead Time,Lead Time Binned,Cluster
1,CA-2017-152156,2017-11-08,2017-11-11,2,CG-12520,Claire Gute,0,United States,Henderson,Kentucky,42420.0,2,FUR-BO-10001798,0,4,Bush Somerset Collection Bookcase,0.5235073446689594,0.42857142857142855,0,1
3,CA-2017-138688,2017-06-12,2017-06-16,2,DV-13045,Darrin Van Huff,1,United States,Los Angeles,California,90036.0,3,OFF-LA-10000240,1,10,Self-Adhesive Address Labels for Typewriters by Universal,0.028377767012447305,0.5714285714285714,0,0
5,US-2016-108966,2016-10-11,2016-10-18,3,SO-20335,Sean O'Donnell,0,United States,Fort Lauderdale,Florida,33311.0,2,OFF-ST-10000760,1,14,Eldon Fold 'N Roll Cart System,0.043887850167952505,1.0,1,0
6,CA-2015-115812,2015-06-09,2015-06-14,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,FUR-FU-10001487,0,9,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",0.09692000336305366,0.7142857142857142,1,0
7,CA-2015-115812,2015-06-09,2015-06-14,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,OFF-AR-10002833,1,2,Newell 322,0.013684425458316152,0.7142857142857142,1,0
9,CA-2015-115812,2015-06-09,2015-06-14,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,OFF-BI-10003910,1,3,DXL Angle-View Binders with Locking Rings by Samsill,0.03615282676670417,0.7142857142857142,1,0
10,CA-2015-115812,2015-06-09,2015-06-14,3,BH-11710,Brosina Hoffman,0,United States,Los Angeles,California,90032.0,3,OFF-AP-10002892,1,1,Belkin F5C206VTEL 6 Outlet Surge,0.22912004099722552,0.7142857142857142,1,0
13,CA-2018-114412,2018-04-15,2018-04-20,3,AA-10480,Andrew Allen,0,United States,Concord,North Carolina,28027.0,2,OFF-PA-10002365,1,12,Xerox 1967,0.030243461062644885,0.7142857142857142,1,0
14,CA-2017-161389,2017-12-05,2017-12-10,3,IM-15070,Irene Maddox,0,United States,Seattle,Washington,98103.0,3,OFF-BI-10003656,1,3,Fellowes PB200 Plastic Comb Binding Machine,0.8158047507136481,0.7142857142857142,1,0
15,US-2016-118983,2016-11-22,2016-11-26,3,HP-14815,Harold Pawlan,2,United States,Fort Worth,Texas,76106.0,0,OFF-AP-10002311,1,1,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",0.1368562654890641,0.5714285714285714,0,2
16,US-2016-118983,2016-11-22,2016-11-26,3,HP-14815,Harold Pawlan,2,United States,Fort Worth,Texas,76106.0,0,OFF-BI-10000756,1,3,Storex DuraTech Recycled Plastic Frosted Binders,0.004203817065895833,0.5714285714285714,0,2
18,CA-2015-167164,2015-05-13,2015-05-15,2,AG-10270,Alejandro Grove,0,United States,West Jordan,Utah,84084.0,3,OFF-ST-10000107,1,14,Fellowes Super Stor/Drawer,0.1102120725618862,0.2857142857142857,0,1
19,CA-2015-143336,2015-08-27,2015-09-01,2,ZD-21925,Zuschuss Donatelli,0,United States,San Francisco,California,94109.0,3,OFF-AR-10003056,1,2,Newell 341,0.016246752050862186,0.7142857142857142,1,0
20,CA-2015-143336,2015-08-27,2015-09-01,2,ZD-21925,Zuschuss Donatelli,0,United States,San Francisco,California,94109.0,3,TEC-PH-10001949,2,13,Cisco SPA 501G IP Phone,0.4264592249762785,0.7142857142857142,1,0
21,CA-2015-143336,2015-08-27,2015-09-01,2,ZD-21925,Zuschuss Donatelli,0,United States,San Francisco,California,94109.0,3,OFF-BI-10002215,1,3,"Wilson Jones Hanging View Binder, White, 1""",0.044592489980902664,0.7142857142857142,1,0
22,CA-2017-137330,2017-12-09,2017-12-13,3,KB-16585,Ken Black,1,United States,Fremont,Nebraska,68025.0,0,OFF-AR-10000246,1,2,Newell 318,0.03806656444051199,0.5714285714285714,0,2
23,CA-2017-137330,2017-12-09,2017-12-13,3,KB-16585,Ken Black,1,United States,Fremont,Nebraska,68025.0,0,OFF-AP-10001492,1,1,"Acco Six-Outlet Power Strip, 4' Cord Length",0.11990086998995089,0.5714285714285714,0,2
24,US-2018-156909,2018-07-16,2018-07-18,2,SF-20065,Sandra Flanagan,0,United States,Philadelphia,Pennsylvania,19140.0,1,FUR-CH-10002774,0,5,"Global Deluxe Stacking Chair, Gray",0.141984922309457,0.2857142857142857,0,1
26,CA-2017-121755,2017-01-16,2017-01-20,2,EH-13945,Eric Hoffmann,0,United States,Los Angeles,California,90049.0,3,OFF-BI-10001634,1,3,Wilson Jones Active Use Binders,0.022428364955379487,0.5714285714285714,0,0
27,CA-2017-121755,2017-01-16,2017-01-20,2,EH-13945,Eric Hoffmann,0,United States,Los Angeles,California,90049.0,3,TEC-AC-10003027,2,0,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,0.18041581756234662,0.5714285714285714,0,0
29,US-2016-150630,2016-09-17,2016-09-21,3,TB-21520,Tracy Blumstein,0,United States,Philadelphia,Pennsylvania,19140.0,1,OFF-BI-10000474,1,3,Avery Recycled Flexi-View Covers for Binding Systems,0.018364675125013517,0.5714285714285714,0,2
30,US-2016-150630,2016-09-17,2016-09-21,3,TB-21520,Tracy Blumstein,0,United States,Philadelphia,Pennsylvania,19140.0,1,FUR-FU-10004848,0,9,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",0.24773694514619277,0.5714285714285714,0,2
31,US-2016-150630,2016-09-17,2016-09-21,3,TB-21520,Tracy Blumstein,0,United States,Philadelphia,Pennsylvania,19140.0,1,OFF-EN-10001509,1,7,Poly String Tie Envelopes,0.005645125774202976,0.5714285714285714,0,2
32,US-2016-150630,2016-09-17,2016-09-21,3,TB-21520,Tracy Blumstein,0,United States,Philadelphia,Pennsylvania,19140.0,1,OFF-AR-10004042,1,2,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",0.1718760634656268,0.5714285714285714,0,2
